menu_lang,zh_TW,zh_CN,en_US,vi_VN,ja_JP,ko_KR,th_TH,id_ID
privacy_paragraph_3_li_2,利用地區<br />在本政策所載目的範圍內，您的個人資料可能在台灣及本公司關係企業所在地及本服務提供之國家被利用。,利用地区<br />在本政策所载目的范围内，您的个人资料可能在台湾及本公司关系企业所在地及本服务提供之国家被利用。,"Area<br />Based on the purpose that listed in this policy, your personal information could be use in Taiwan, HOLY BUSINESS related company’s country, and in the countries that provided by The Service.","Khu vực sử dụng<br />Trong phạm vi mục đích được nêu trong chính sách này, dữ liệu cá nhân của bạn có thể được sử dụng ở Đài Loan và địa điểm của các công ty liên kết của công ty chúng tôi và quốc gia nơi dịch vụ này được cung cấp.",使用地域<br />本ポリシーに記載される目的実現の範囲で、ユーザーの個人情報は台湾および当社の関連企業が所在する国により使用されることがございます。,이용 지역<br />본 정책의 목적 범위 안에 님의 개인 정보는 대만 및 저희의 계열기업 소재지 및 본 서비스를 이용하는 국가에게 이용할 수 있습니다.,"Area<br />Based on the purpose that listed in this policy, your personal information could be use in Taiwan, HOLY BUSINESS related company’s country, and in the countries that provided by The Service.","Area<br />Based on the purpose that listed in this policy, your personal information could be use in Taiwan, HOLY BUSINESS related company’s country, and in the countries that provided by The Service."
privacy_paragraph_3_li_3,利用對象<br />除法律另有規定者外，本公司僅得在本政策所載目的範圍內使用您的個人資料。除下列情形者外，本公司不會將您的個人資料提供予第三人：<ol><li>取得您的事前同意；</li><li>法律要求揭露您的特定資訊；</li><li>與本公司之關係企業共同使用您的個人資料；</li><li>使用本服務之其他會員揭露您的部分個人資料，例如聯絡資訊、手機門號等。</li></ol>,利用对象<br />除法律另有规定者外，本公司仅得在本政策所载目的范围内使用您的个人资料。除下列情形者外，本公司不会将您的个人资料提供予第三人：<ol><li>取得您的事前同意；</li><li>法律要求揭露您的特定资讯；</li><li>与本公司之关系企业共同使用您的个人资料；</li><li>使用本服务之其他会员揭露您的部分个人资料，例如联络资讯、手机门号等。</li></ol>,"Object<br />Unless laws have specific norm, HOLY BUSINESS will use your personal information based on the purpose that listed in this policy. HOLY BUSINESS will not provide your personal information to third person, except for the situation as follows;<ol><li>Get your permission in advance.</li><li>Laws request to reveal your specific information.</li><li>HOLY BUSINESS related company needs to use your personal information.</li><li>Other user of The Service reveals a part of your personal information, for example, contact information, cell phone number, etc.</li></ol>","Đối tượng sử dụng<br />Trừ khi pháp luật có quy định khác, công ty chỉ có thể sử dụng dữ liệu cá nhân của bạn trong phạm vi mục đích được nêu trong chính sách này. Trừ những trường hợp sau, công ty sẽ không cung cấp dữ liệu cá nhân của bạn cho bên thứ ba:<ol><li>Có được sự đồng ý trước của bạn;</li><li>Pháp luật yêu cầu tiết lộ một số thông tin đặc biết của bạn</li><li>Công ty và các công ty hợp tác sử dụng dữ liệu cá nhân của bạn;</li><li>Sử dụng thông tin được tiết lộ từ các thành viên trong dịch vụ về bạn, chẳng hạn như thông tin liên lạc, số điện thoại di động,...</li></ol>",使用対象<br />法律で別途規定がある場合を除き、当社は本ポリシーに記載される目的実現の範囲に限りユーザーの個人情報を利用するものとします。下記の状況を除き、当社はユーザーの個人情報を第三者に提供いたしません。<ol><li>あらかじめユーザーの同意を得た場合</li><li>法令に基づきユーザーの特定情報の開示を要請された場合</li><li>当社の関連企業とユーザーの個人情報を共同利用する場合</li><li>本サービスをご利用する他のメンバーがユーザーの一部の個人情報、例えば：連絡情報・携帯番号を開示する場合</li></ol>,"이용 대상<br />법률에 따로 규정이 있는 경우를 제외하고는 저희는 본 정책의 목적 범위에만 님의 개인 정보를 이용합니다. 아래와 같은 경우를 제외하고 저희는 님의 개인 정보를 제 삼자에게 제공하지 않습니다：<ol><li>사전에 님의 동의를 받는 경우；</li><li>법의 요구에 따라 님의 특정 정보를 제공해야 하는 경우；</li><li>저희의 계열기업과 님의 개인 정보를 공동 사용하는 경우；</li><li>본 서비스를 이용하는  다른 회원이 님의 개인 정보 일부 예를 들면 연락 정보,핸드폰 전화 등 정보를 유출하는 경우.</li></ol>","Object<br />Unless laws have specific norm, HOLY BUSINESS will use your personal information based on the purpose that listed in this policy. HOLY BUSINESS will not provide your personal information to third person, except for the situation as follows;<ol><li>Get your permission in advance.</li><li>Laws request to reveal your specific information.</li><li>HOLY BUSINESS related company needs to use your personal information.</li><li>Other user of The Service reveals a part of your personal information, for example, contact information, cell phone number, etc.</li></ol>","Object<br />Unless laws have specific norm, HOLY BUSINESS will use your personal information based on the purpose that listed in this policy. HOLY BUSINESS will not provide your personal information to third person, except for the situation as follows;<ol><li>Get your permission in advance.</li><li>Laws request to reveal your specific information.</li><li>HOLY BUSINESS related company needs to use your personal information.</li><li>Other user of The Service reveals a part of your personal information, for example, contact information, cell phone number, etc.</li></ol>"
privacy_paragraph_3_li_4,利用方式<ol><li>於本服務<br />本公司可能使用您的個人資訊，以提供、維護及改善本服務，並防止與調查非法活動或違反使用者條款之行為。</li><li>客服意見之處理<br />若您向本公司詢問您於使用本服務發生之問題，本公司可能使用您的個人資料以解決該等問題。</li><li>建立及提供統計資訊<br />本公司可能基於統計及分析目的，以匿名形式使用您的個人資訊，資訊將會以去識別化之形式使用。本公司可使用該等資訊，以改善服務、運作、行銷活動及提升產品與服務之可用性，並作為研發新產品與服務之參考。</li></ol>,利用方式<ol><li>于本服务<br />本公司可能使用您的个人资讯，以提供、维护及改善本服务，并防止与调查非法活动或违反使用者条款之行为。</li><li>客服意见之处理<br />若您向本公司询问您于使用本服务发生之问题，本公司可能使用您的个人资料以解决该等问题。</li><li>建立及提供统计资讯<br />本公司可能基于统计及分析目的，以匿名形式使用您的个人资讯，资讯将会以去识别化之形式使用。本公司可使用该等资讯，以改善服务、运作、行销活动及提升产品与服务之可用性，并作为研发新产品与服务之参考。</li></ol>,"Purpose<ol><li>For The Service<br />HOLY BUSINESS may use your personal information to maintain and improve The Service. The information will also use to prevent and investigate the illegal activity or User Terms of Service violation activity.</li><li>For Customer Service<br />If you ask HOLY BUSINESS for the The Service related problem, HOLY BUSINESS may use your personal information to solve it.</li><li>For Statistic<br />Due to the statistic and analysis purpose, HOLY BUSINESS may use your personal information in anonymous form. HOLY BUSINESS will use personal information, in order to improve service, operation, promotion activity, possible service, and also use it as a new product development sample.</li></ol>","Phương pháp sử dụng<ol><li>Với bản dịch vụ<br />Công ty có thể sử dụng thông tin cá nhân của bạn để cung cấp, duy trì và cải tiến dịch vụ này cũng như để ngăn chặn và điều tra các hoạt động bất hợp pháp hoặc vi phạm các điều khoản của người dùng.</li><li>Xử lý các ý kiến về dịch vụ<br />Nếu bạn hỏi công ty về bất kỳ vấn đề nào bạn gặp phải khi sử dụng dịch vụ này, công ty có thể sử dụng dữ liệu cá nhân của bạn để giải quyết những vấn đề đó.</li><li>Thiết lập và cung cấp thông tin thống kê<br />Công ty có thể lấy dữ liệu thống kê vào mục địch phân tích dưới phương thứcdạng ẩn danh để sử dụng thông tin cá nhân, dữ liệu sẽ được sử dụng ở dạng không xác định danh tính. Công ty có thể sử dụng thông tin này để cải thiện dịch vụ, hoạt động, các hoạt động tiếp thị và nâng cao tính khả dụng của các sản phẩm và dịch vụ, đồng thời là tài liệu tham khảo cho việc phát triển các sản phẩm và dịch vụ mới.</li></ol>",使用方式<ol><li>本サーズ<br />当社はユーザーの個人情報は本サービスを提供・メンテナンスおよび改善、そして違法活動あるいは利用規約に違反する行為の阻止と調査に利用することがございます。</li><li>サポートセンターへのコメント処理<br />もしユーザーが本サービスを利用する際に発生したトラブルを当社に問い合わせた場合、当社はユーザーの個人情報を利用することでそのトラブルを解決することがございます。</li><li>統計情報の開設および提供<br />当社は統計および分析の目的で、匿名でユーザーの個人情報を利用することがございます。情報は識別化されないように利用されます。当社はその情報を利用して、サービス・運営・営業活動の改善および製品とサービスの可用性向上、そして新製品とサービスの研究開発の参考とするものとします。</li></ol>,"이용 방식<ol><li>본 서비스에<br />저희는 님의 개인 정보를 서비스의 공급,유지, 개선에 사용하며 불법 활동 혹은 이용약관을 위반하는 것을 방지 및 조사에 이용할 수 있습니다. </li><li>고객 서비스 의견 처리에<br />저희에게 본 서비스를 이용 시 발생된 문제에 대한 문의를 하시면 저희는 해당 문제를 해결하기 위해 님의 개인 정보를 이용할 수 있습니다. </li><li>통계 정보 제공 및 제작에<br />저희는 통계 및 분석적인 목적으로 님의 개인 정보를 익명화 및 비식별화 등 방식으로 이용할 수 있습니다. 저희는 해당 정보를 서비스의 운영,마케팅 활동, 개선 및 아이템 품질 서비스 향상에 이용할 수 있으며 새 상품 및 서비스 연구 정보로 참조할 수 있습니다.</li></ol>","Purpose<ol><li>For The Service<br />HOLY BUSINESS may use your personal information to maintain and improve The Service. The information will also use to prevent and investigate the illegal activity or User Terms of Service violation activity.</li><li>For Customer Service<br />If you ask HOLY BUSINESS for the The Service related problem, HOLY BUSINESS may use your personal information to solve it.</li><li>For Statistic<br />Due to the statistic and analysis purpose, HOLY BUSINESS may use your personal information in anonymous form. HOLY BUSINESS will use personal information, in order to improve service, operation, promotion activity, possible service, and also use it as a new product development sample.</li></ol>","Purpose<ol><li>For The Service<br />HOLY BUSINESS may use your personal information to maintain and improve The Service. The information will also use to prevent and investigate the illegal activity or User Terms of Service violation activity.</li><li>For Customer Service<br />If you ask HOLY BUSINESS for the The Service related problem, HOLY BUSINESS may use your personal information to solve it.</li><li>For Statistic<br />Due to the statistic and analysis purpose, HOLY BUSINESS may use your personal information in anonymous form. HOLY BUSINESS will use personal information, in order to improve service, operation, promotion activity, possible service, and also use it as a new product development sample.</li></ol>"
privacy_paragraph_4_title,四、您得行使之權利及方式,四、您得行使之权利及方式,4. User Rights and Exercise,4. Các quyền lợi và phương pháp bạn có thể thực hiện,4. ユーザーが行使できる権利および方式,4. 이행할 수 있는 권리 및 방식,4. User Rights and Exercise,4. User Rights and Exercise
privacy_paragraph_4_li_1,您就個人資料得向本公司以書面請求行使以下權利：<ol><li>查詢或請求閱覽。</li><li>請求製給複製本。</li><li>請求補充或更正。</li><li>請求停止蒐集、處理或利用。</li><li>請求刪除。</li></ol>,您就个人资料得向本公司以书面请求行使以下权利：<ol><li>查询或请求阅览。</li><li>请求制给复制本。</li><li>请求补充或更正。</li><li>请求停止搜集、处理或利用。</li><li>请求删除。</li></ol>,"Based on your personal information, you can ask HOLY BUSINESS to do the act with written application as follows;<ol><li>Ask to search or read it.</li><li>Ask for a copy.</li><li>Ask to add or correct it.</li><li>Ask to stop collect, store, and use it.</li><li>Ask to deletion.</li></ol>","Đối với dữ liệu cá nhân của bạn, bạn có thể yêu cầu công ty thực hiện các quyền sau đây bằng văn bản:<ol><li>Thắc mắc hoặc yêu cầu đọc hiểu</li><li>Yêu cầu một bản sao</li><li>Yêu cầu bổ sung hoặc sửa chữa.</li><li>Yêu cầu ngừng thu thập, xử lý hoặc sử dụng.</li><li>Yêu cầu xóa bỏ.</li></ol>",ユーザーが個人情報について当社に書面で以下の権利を行使できるものとします。<ol><li>照会および閲覧の請求。</li><li>コピーの請求。</li><li>補足あるいは訂正の請求。</li><li>収集・処理あるいは使用の停止を請求。</li><li>削除の請求。</li></ol>,"님의 개인 정보로 저희한테 아래와 같은 권리를 서면으로 이행 요청할 수 있습니다 ：<ol><li>조회 혹은 열람 요청.</li><li>복사본 제출 요청.</li><li>보충 혹은 수정 요청.</li><li>수집,처리 혹은 이용 중지 요청.</li><li>삭제 요청.</li></ol>","Based on your personal information, you can ask HOLY BUSINESS to do the act with written application as follows;<ol><li>Ask to search or read it.</li><li>Ask for a copy.</li><li>Ask to add or correct it.</li><li>Ask to stop collect, store, and use it.</li><li>Ask to deletion.</li></ol>","Based on your personal information, you can ask HOLY BUSINESS to do the act with written application as follows;<ol><li>Ask to search or read it.</li><li>Ask for a copy.</li><li>Ask to add or correct it.</li><li>Ask to stop collect, store, and use it.</li><li>Ask to deletion.</li></ol>"
privacy_paragraph_4_li_2,權利限制<br />若您的請求不符合申請程序或法律另有規定者，前項所列權利將會受到限制。,权利限制<br />若您的请求不符合申请程序或法律另有规定者，前项所列权利将会受到限制。,"limitation of User Rights<br />If your request didn’t follow the correct procedure or been limited by the laws, the rights that listed above will be restricted.","Quyền lợi hạn chế<br />Nếu yêu cầu của bạn không phụ hợp các thủ tục nộp đơn hoặc pháp luật có quy định khác, các quyền được liệt kê trên sẽ bị hạn chế.",権利の制限<br />もしユーザーの請求が申請の流れの通りになされていないあるいは法律で別途規定がある場合、前項に挙げた権利は制限されるものとします。,권리 제한<br />님의 요청은 신청 절차에 부합하지 않거나 법률에 따로 규정이 있는 경우는 위 사항에 있는 권리가 제한됩니다.,"limitation of User Rights<br />If your request didn’t follow the correct procedure or been limited by the laws, the rights that listed above will be restricted.","limitation of User Rights<br />If your request didn’t follow the correct procedure or been limited by the laws, the rights that listed above will be restricted."
privacy_paragraph_4_li_3,酌收費用<br />若您依本條第一項向本公司查詢、請求閱覽或製給複製本，本公司將酌收必要成本費用。,酌收费用<br />若您依本条第一项向本公司查询、请求阅览或制给复制本，本公司将酌收必要成本费用。,"Fee<br />If you follow this article’s first paragraph to ask HOLY BUSINESS for search, read, or make a copy, HOLY BUSINESS will charge necessary fee.","Phí yêu cầu<br />Để thực hiện các quyền tại khoản 1 điều này thắc mắc hoặc yêu cầu đọc hiểu, công ty sẽ thu thêm các phí yêu cầu.",経費の徴収<br />もしユーザーが第一項に定めた当社に照会および閲覧の請求・コピーの請求をした場合、当社は必要経費を徴収するものとします。,"사정을 참작해서 받는 비용<br />님이 본 조 제1항에 따라 저희에게 조회,열람 혹은 복사본 제출  요청 신청 시 사정을 참작해서 원가비용을 받을겁니다. ","Fee<br />If you follow this article’s first paragraph to ask HOLY BUSINESS for search, read, or make a copy, HOLY BUSINESS will charge necessary fee.","Fee<br />If you follow this article’s first paragraph to ask HOLY BUSINESS for search, read, or make a copy, HOLY BUSINESS will charge necessary fee."
privacy_paragraph_4_li_4,權利行使之方式<br />本條第一項權利之行使，應填具申請文件，並向本公司提出可資確認之身分證明文件。委託他人代為申請者，應出具委任書並提供本人及代理人之身分證明文件。,权利行使之方式<br />本条第一项权利之行使，应填具申请文件，并向本公司提出可资确认之身分证明文件。委托他人代为申请者，应出具委任书并提供本人及代理人之身分证明文件。,"Procedure of Rights Exercise<br />To exercise  this article’s first paragraph, the applicant should provide the application form with identification. If you authorize an agent to execute, the agent should provide the paper of authorization and the identification of agent & applicant.","Phương thức thực hiện quyền<br />Để thực hiện các quyền tại khoản 1 điều này, bạn nên điền đầy đủ hồ sơ và cung cấp cho công ty những giấy tờ xác minh. Những người ủy thác cho người khác nộp đơn thay mặt họ nên gửi thư ủy quyền và cung cấp giấy tờ xác minh của mình và người đại diện.",権利行使の方式<br />本条第一項における権利の行使について、申請書類に記入し、そして当社に個人情報を確認できる身分証明書を提出するものとします。代理人が申請する場合、委任状を提示し本人と代理人の身分証明書を提供するものとします。,"권리 이행 방식<br />본 조 제1항 권리를 이행시 신청 문서를 구비해야 하며 저희에게 신분증명 문서를 제출해야 합니다.타인에게 위탁해서 신청하는 경우는 위탁서 및 본인,대리인의 신분증명 문서를 구비해서 체출해야 합니다. ","Procedure of Rights Exercise<br />To exercise  this article’s first paragraph, the applicant should provide the application form with identification. If you authorize an agent to execute, the agent should provide the paper of authorization and the identification of agent & applicant.","Procedure of Rights Exercise<br />To exercise  this article’s first paragraph, the applicant should provide the application form with identification. If you authorize an agent to execute, the agent should provide the paper of authorization and the identification of agent & applicant."
privacy_paragraph_5_title,五、您無法提供完整之個人資料時，不提供將對您權益之影響,五、您无法提供完整之个人资料时，不提供将对您权益之影响,5. Influence of provide Impaired Personal Information,"5. Khi bạn không thể cung cấp đầy đủ thông tin cá nhân, việc không cung cấp sẽ ảnh hưởng đến quyền và lợi ích của bạn",5. ユーザーが完全な個人情報を提供できない時、提供しないことでユーザーの権益について受ける影響,5. 완전한 정보를 제공하지 못 할 때 이용자 권익에 미친 영향,5. Influence of provide Impaired Personal Information,5. Influence of provide Impaired Personal Information
privacy_paragraph_5_p,若您無法提供完整且確實之個人資料，您可能因此無法使用本公司開發及經營之應用程式，因此建議您提供完整且確實之個人資料，並應隨時更新之。,若您无法提供完整且确实之个人资料，您可能因此无法使用本公司开发及经营之应用程式，因此建议您提供完整且确实之个人资料，并应随时更新之。,"If you can’t provide intact and certain personal information, you may not use some of HOLY BUSINESS Apps due to it, so we recommend you to provide us with intact personal information, and update it constantly.","Nếu bạn không thể cung cấp thông tin cá nhân đầy đủ và chính xác, bạn có thể không sử dụng được các ứng dụng do công ty phát triển và vận hành, do đó, bạn nên cung cấp thông tin cá nhân đầy đủ, chính xác và cập nhật bất cứ lúc nào.",もしユーザーが完全で真実の個人情報を提供できない場合、ユーザーは当社により開発・運営するアプリケーションを使用できなくなることがございます。ユーザーは完全で真実の個人情報を提供し、随時更新することをお勧めいたします。,님의 개인 정보를 완전하고 확실히 제공하지 못 하면 저희가 개발 및 운영하는 프로그램을 이용할 수 없으니 정확한 개인 정보를 제공하며 수시로 경신하는 것을 건의합니다.,"If you can’t provide intact and certain personal information, you may not use some of HOLY BUSINESS Apps due to it, so we recommend you to provide us with intact personal information, and update it constantly.","If you can’t provide intact and certain personal information, you may not use some of HOLY BUSINESS Apps due to it, so we recommend you to provide us with intact personal information, and update it constantly."
privacy_paragraph_6_title,六、個人資料之安全維護,六、个人资料之安全维护,6. The Security of Personal Information,6. Duy trì bảo mật dữ liệu cá nhân,6. 個人情報のセキュリティ保護,6. 개인 정보의 안전 유지,6. The Security of Personal Information,6. The Security of Personal Information
privacy_paragraph_6_p,本公司採行合理適當之安全技術及保護措施，依相關法令辦理個人資料之安全維護事項，防止您的個人資料被竊取、竄改、毀損、滅失或洩漏。,本公司采行合理适当之安全技术及保护措施，依相关法令办理个人资料之安全维护事项，防止您的个人资料被窃取、窜改、毁损、灭失或泄漏。,"HOLY BUSINESS use proper security technology, protection, and follow the relevant laws to secure personal information related business, in order to protect your personal information form been stolen, changed, damaged, deleted or lost.","Công ty áp dụng công nghệ bảo mật và các biện pháp bảo vệ hợp lý và thích hợp, đồng thời xử lý việc duy trì bảo mật dữ liệu cá nhân theo luật và quy định có liên quan để ngăn dữ liệu cá nhân của bạn không bị đánh cắp, thay đổi, hư hỏng, mất mát hoặc rò rỉ.",当社は適切なセキュリティ技術を採用して保護措置を講じており、関連する法令に従って個人情報のセキュリティ保護を実施し、ユーザーの個人情報が盗難・改ざん・損壊・削除あるいは漏えいすることを阻止しております。,"저희는 합리적이고 타당하는 안전 기술 및 보호 조치를 채택하여 해당 법령에 따라 개인 정보의 안전 유지 사항을 취급하며 님의 개인 정보 절취, 개찬, 훼손, 멸실 혹은 유출되는 것에 방지합니다. ","HOLY BUSINESS use proper security technology, protection, and follow the relevant laws to secure personal information related business, in order to protect your personal information form been stolen, changed, damaged, deleted or lost.","HOLY BUSINESS use proper security technology, protection, and follow the relevant laws to secure personal information related business, in order to protect your personal information form been stolen, changed, damaged, deleted or lost."
privacy_paragraph_7_title,七、其他資料蒐集者,七、其他资料搜集者,7. Other Data Collectors,7. Những người thu thập dữ liệu khác,7. 他の情報収集者,7. 기타 정보 수집자,7. Other Data Collectors,7. Other Data Collectors
privacy_paragraph_7_p,本政策僅規範我們向您蒐集、處理及利用的個人資料。於您揭露個人資料時，於平台上無論是瀏覽者、買方或賣方都有可能得知您的個人資料，有關於他們利用或蒐集您個人資料之行為，由其負擔相對的法律責任。於第三方之廣告、網路或連結，請您參考該第三方的隱私權政策。,本政策仅规范我们向您搜集、处理及利用的个人资料。于您揭露个人资料时，于平台上无论是浏览者、买方或卖方都有可能得知您的个人资料，有关于他们利用或搜集您个人资料之行为，由其负担相对的法律责任。于第三方之广告、网路或连结，请您参考该第三方的隐私权政策。,"This Privacy Policy only restrict how we collect, store, and use your personal information. When you reveal your personal information, any platform user, buyer, and seller could know it, they will take the corresponding legal responsibility on how they use or collect your personal information. To all the third party advertisement, website, and link, please check the third party’s privacy policy.","Phạm vi bản chính sách này chỉ thu thập, xử lý và sử dụng thông tin cá nhân. Khi bạn tiết lộ thông tin cá nhân của mình, bất kể người xem, người mua hoặc người bán trên nền tảng có thể tìm hiểu về thông tin cá nhân của bạn, họ sẽ chịu trách nhiệm pháp lý tương đối về việc sử dụng hoặc thu thập thông tin cá nhân của bạn. Đối với quảng cáo, mạng hoặc liên kết của bên thứ ba, vui lòng tham khảo chính sách bảo mật của bên thứ ba.",本ポリシーはユーザーに個人資料の収集・処理・利用することのみ規制されます。プラットホームで閲覧者、あるいは買い手と売り手でもユーザーの個人情報を取得する可能性がございます。第三者がユーザーの個人情報を収集し、利用した行為については、第三者が相対法律責任を負うものとします。第三者の広告・インターネットあるいはリンクは第三者のプライバシーポリシーをご参照ください。,"본 정책은 저희가 님의 개인 정보를 수집,처리 및 이용하는 것만을 규범합니다.님이 개인 정보를 제공 시 플랫폼에 있는 방문자뿐만 아닌 판매자 혹은 구매자가 님의 개인 정보를 취득할 수 있습니다. 이들은 님의 개인 정보를 수집 혹은 이용 행위에 대한 법률 책임은 해당자에게 있습니다.제 삼자의 광고 혹은 링크는 제 삼장의 프라이버시 정책을 참조하시길 바랍니다.","This Privacy Policy only restrict how we collect, store, and use your personal information. When you reveal your personal information, any platform user, buyer, and seller could know it, they will take the corresponding legal responsibility on how they use or collect your personal information. To all the third party advertisement, website, and link, please check the third party’s privacy policy.","This Privacy Policy only restrict how we collect, store, and use your personal information. When you reveal your personal information, any platform user, buyer, and seller could know it, they will take the corresponding legal responsibility on how they use or collect your personal information. To all the third party advertisement, website, and link, please check the third party’s privacy policy."
privacy_paragraph_8_title,八、隱私權政策的修改,八、隐私权政策的修改,8. Changes to the Privacy Policy,8. Sửa đổi chính sách bảo mật,8. プライバシーポリシーの変更,8. 프라이버시 정책의 수정,8. Changes to the Privacy Policy,8. Changes to the Privacy Policy
privacy_paragraph_8_p,本公司得隨時修正本政策，相關修正規定將會公告於本公司開發及經營之應用程式中，請隨時查閱本政策之最新版本。本政策之修正於公告時生效，當您於本政策修正後繼續使用本公司開發及經營之應用程式，將表示您已閱讀、瞭解並同意接受本政策之修正內容。,本公司得随时修正本政策，相关修正规定将会公告于本公司开发及经营之应用程式中，请随时查阅本政策之最新版本。本政策之修正于公告时生效，当您于本政策修正后继续使用本公司开发及经营之应用程式，将表示您已阅读、了解并同意接受本政策之修正内容。,"HOLY BUSINESS may change this Privacy Policy in any moment, related changes will be announced in our App, please check the latest version of Privacy Policy. The changes of Privacy Policy will come into force from the announcement day, when you continuously use our App, it means you already read, knew, and agreed to the related changes.","Công ty có thể sửa đổi chính sách này bất kỳ lúc nào và các sửa đổi liên quan sẽ được thông báo trong các ứng dụng do công ty phát triển và vận hành. Vui lòng kiểm tra phiên bản mới nhất của chính sách này bất kỳ lúc nào. Việc sửa đổi chính sách này có hiệu lực tại thời điểm thông báo. Khi bạn tiếp tục sử dụng ứng dụng do công ty phát triển và vận hành sau khi sửa đổi chính sách này, điều đó có nghĩa là bạn đã đọc, hiểu và đồng ý chấp nhận sửa đổi của chính sách này.",当社は随時本ポリシーを変更できるものとし、関連する変更は当社により開発・運営するアプリケーション上で公表するものと規定いたしますので、随時本ポリシーの最新版をご覧になってください。本ポリシーの変更は公表時に効力を有するものとし、ユーザーが本ポリシー変更後も当社により開発・運営するアプリケーションを引き続きご利用になる際は、本ポリシーの変更内容をお読みいただきご理解の上で同意いただけることを表明するものとします。,저희는 본 정책을 수시로 수정할 수 있으며 해당 수정 규정을 저희가 개발 및 운영하는 프로그램에 공지하니 수시로 본 정책의 최신 버전을 검열하며 유의하십시오. 본 정책은 수정 공지 시부터 유효합니다.본 정책 수정 후에도 저희 개발 및 운영하는 프로그램을 계속 이용하시면 본 정책 수정 내용을 읽고 이해하고 동의한 것으로 간주합니다.,"HOLY BUSINESS may change this Privacy Policy in any moment, related changes will be announced in our App, please check the latest version of Privacy Policy. The changes of Privacy Policy will come into force from the announcement day, when you continuously use our App, it means you already read, knew, and agreed to the related changes.","HOLY BUSINESS may change this Privacy Policy in any moment, related changes will be announced in our App, please check the latest version of Privacy Policy. The changes of Privacy Policy will come into force from the announcement day, when you continuously use our App, it means you already read, knew, and agreed to the related changes."
privacy_paragraph_9_title,九、看法與建議,九、看法与建议,9. Feedback & Suggestion,9. Xem và thắc mắc,9. 見解とアドバイス,9. 의견 및 건의,9. Feedback & Suggestion,9. Feedback & Suggestion
privacy_paragraph_9_p_1,若您對本政策或與個人資料相關事項有任何疑問，歡迎寄送,若您对本政策或与个人资料相关事项有任何疑问，欢迎寄送,"If you have any Privacy Policy or Personal Information related question, please send an","Nếu bạn có bất kỳ câu hỏi nào về chính sách này hoặc các vấn đề liên quan đến dữ liệu cá nhân, vui lòng gửi",もしユーザーが本ポリシーあるいは個人情報に関する疑問があれば、当社のサポートセンターに,본 정책 혹은 개인 정보 사항에 대한 문의는 서비스 센터로,"If you have any Privacy Policy or Personal Information related question, please send an","If you have any Privacy Policy or Personal Information related question, please send an"
privacy_paragraph_9_sendMail,電子郵件,电子邮件,email,email,電子メール,이메일,email,email
privacy_paragraph_9_copy,已複製至剪貼簿,已复制至剪贴簿,The content has been copied to the Clipboard.,Đã sao chépvào clipboard,クリップボードにコピーしました。,복사하여 스크랩 북에 넣었습니다.,The content has been copied to the Clipboard.,The content has been copied to the Clipboard.
privacy_paragraph_9_p_2,至客服中心。,至客服中心。,to our Customer Service Center.,đến trung tâm dịch vụ khách hàng.,によるお問い合わせをお寄せください。,을 보내주시길 바랍니다.,to our Customer Service Center.,to our Customer Service Center.
